asset_uid,asset_name,type,name,label::english (en),label::french (fr),hint::english (en),hint::french (fr),calculation,required,relevant,constraint,default,repeat_count,constraint_message::english (en),constraint_message::french (fr),appearance,choice_filter,parameters,_kuid,_qpath,question_order,_dlt_parent_id
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one yn,H_11_0_exp_transportation_yn,,,,,,true,"selected(${H_1_short_exp_types},'transportation')",,,,,,,,,yMmyduJR0,,196,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,integer,H_11_exp_transportation,,,,,,true,"selected(${H_11_0_exp_transportation_yn},'yes')",(.>=50 and .<=100000) and not(.=999),,,,,,,,qKKSLPAky,,197,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one yn,H_12_0_exp_fuel_yn,,,,,,true,"selected(${H_1_short_exp_types},'fuel_for_other_purposes')",,,,,,,,,fiPD2OLB7,,198,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,integer,H_12_exp_fuel,,,,,,true,"selected(${H_12_0_exp_fuel_yn},'yes')",(.>=100 and .<=500000) and not(.=999),,,,,,,,7D6EjRlsQ,,199,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one yn,H_13_0_exp_communications_yn,,,,,,true,"selected(${H_1_short_exp_types},'communications')",,,,,,,,,GfzNDauSE,,200,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,integer,H_13_exp_communications,,,,,,true,"selected(${H_13_0_exp_communications_yn},'yes')",(.>=50 and .<=10000) and not(.=999),,,,,,,,9d9g7NX7o,,201,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one yn,H_14_0_exp_childcare_yn,,,,,,true,"selected(${H_1_short_exp_types},'childcare_elderly_care_care_for_disabled_people')",,,,,,,,,Mk0BEyFlY,,202,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,integer,H_14_exp_childcare,,,,,,true,"selected(${H_14_0_exp_childcare_yn},'yes')",(.>=100 and .<=100000) and not(.=999),,,,,,,,yrB05zJFT,,203,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one yn,H_15_0_exp_recreation_yn,,,,,,true,"selected(${H_1_short_exp_types},'recreation_sport_and_culture')",,,,,,,,,l7qwd00nz,,204,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,integer,H_15_exp_recreation,,,,,,true,"selected(${H_15_0_exp_recreation_yn},'yes')",(.>=100 and .<=1000000) and not(.=999),,,,,,,,jNEDbn2wk,,205,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one yn,H_16_0_exp_pet_yn,,,,,,true,"selected(${H_1_short_exp_types},'pet_care')",,,,,,,,,sTeTxJkz0,,206,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,integer,H_16_exp_pet,,,,,,true,"selected(${H_16_0_exp_pet_yn},'yes')",(.>=50 and .<=50000) and not(.=999),,,,,,,,9lHS1SJUy,,207,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one yn,H_17_0_exp_oth_yn,,,,,,true,"selected(${H_1_short_exp_types},'other')",,,,,,,,,6p4C0jw31,,208,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,integer,H_17_exp_oth,,,,,,true,"selected(${H_17_0_exp_oth_yn},'yes')",(.>=100 and .<=1000000) and not(.=999),,,,,,,,Q5plnxyo6,,209,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,H_3_exp_food_calc,,,,,"if(selected(${H_3_0_exp_food_yn},'cannot') or not(selected(${H_1_short_exp_types},'food_items')),0,(${H_3_exp_food}))",,,,,,,,,,,mUAIz7XCm,,210,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,H_4_exp_clothing_calc,,,,,"if(selected(${H_4_0_exp_clothing_yn},'cannot') or not(selected(${H_1_short_exp_types},'clothing_and_shoes')),0,(${H_4_exp_clothing}))",,,,,,,,,,,r1cXB5x22,,211,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,H_5_exp_rent_calc,,,,,"if(selected(${H_5_0_exp_rent_yn},'cannot') or not(selected(${H_1_short_exp_types},'rent_for_shelter_and_or_land')),0,(${H_5_exp_rent}))",,,,,,,,,,,itdczJVMJ,,212,hNTgnRf31uCmvw
